,index,State ID,Total_Cases,Total_Death,Year,Disease ID,No. of Doctors
915,1756,124,6661458,180,2009,7,3988.0
916,1757,124,5600975,14,2016,7,4123.84321561609
917,1758,124,5879901,38,2015,7,4125.699130654621
918,1759,124,5034506,128,2011,7,4127.555880938449
919,1760,124,315383,0,2010,7,4129.41346684346
920,1764,124,7757200,174,2007,7,2959.0
921,1765,124,7090505,192,2008,7,4131.27188874573
922,1766,124,7221873,189,2004,7,4133.13114702149
923,1770,125,865777,263,2009,7,4134.99124204716
924,1772,125,42274,0,2015,7,4035.0
925,1783,126,690695,5,2012,7,3721.0
926,1786,126,1568270,18,2015,7,3882.0
927,1787,126,571947,28,2011,7,4136.85217419929
928,1788,126,796617,88,2010,7,4138.71394385465
929,1789,126,896949,1,2013,7,4140.57655139014
930,1790,126,1116552,1,2014,7,4142.43999718284
931,1794,126,355496,80,2004,7,2992.0
932,1795,127,15359,0,2003,7,4144.304281610021
933,1796,127,51205,23,2017,7,4146.16940504908
934,1800,127,37477,22,2015,7,4148.03536787764
935,1802,127,19172,15,2010,7,66109.0
936,1804,127,33470,24,2014,7,19147.0
937,1805,127,12602,1,2006,7,37368.0
938,1806,127,22646,13,2007,7,3224.0
939,1807,127,21705,6,2008,7,2828.0
940,1808,127,9796,1,2004,7,47231.0
941,1809,128,183368,19,2003,7,5356.0
942,1811,128,310278,4,2012,7,11360.0
943,1812,128,312102,5,2009,7,3245.0
944,1813,128,430119,2,2016,7,87734.0
945,1814,128,408938,7,2015,7,40007.0
946,1815,128,295146,5,2011,7,26669.0
947,1816,128,318124,0,2010,7,138303.0
948,1817,128,329019,2,2013,7,4149.90217047344
949,1818,128,342281,3,2014,7,4151.76981321443
950,1819,128,304097,25,2006,7,4153.6382964787
951,1820,128,219126,43,2007,7,4155.50762064454
952,1821,128,213692,7,2008,7,39291.0
953,1822,128,299847,23,2004,7,28797.0
954,1824,129,29595,36,2017,7,86822.0
955,1825,129,26789,40,2012,7,4157.37778609037
956,1826,129,41078,16,2009,7,4159.248793194821
957,1827,129,40346,52,2016,7,3394.0
958,1828,129,33169,59,2015,7,58168.0
959,1829,129,26817,33,2011,7,59264.0
960,1830,129,25665,18,2010,7,4161.12064233667
961,1831,129,33807,23,2013,7,6748.0
962,1832,129,28790,43,2014,7,4370.0
963,1843,130,48566,0,2011,7,3727.0
964,1844,130,64220,0,2010,7,4162.9933338948795
965,1846,130,38068,0,2014,7,3157.0
966,1847,130,23131,0,2006,7,4164.86686824857
967,1848,130,23665,0,2007,7,4166.74124577703
968,1849,130,25231,0,2008,7,4168.61646685974
969,1850,130,12949,0,2004,7,4170.49253187633
970,1854,131,535351,29,2009,7,3476.0
971,1855,131,900460,15,2016,7,4172.36944120661
972,1856,131,895610,26,2015,7,4174.24719523055
973,1860,131,772188,2,2014,7,4176.12579432831
974,1862,131,528373,50,2007,7,4498.0
975,1869,132,3797814,63,2016,7,4178.0052388802205
976,1873,132,2515972,77,2013,7,4207.0
977,1874,132,3038583,108,2014,7,4179.8855292667495
978,1876,132,875471,73,2007,7,3433.0
979,1877,132,1257246,250,2008,7,4181.766665868579
980,1878,132,1118633,112,2004,7,4183.64864906654
981,1879,133,44965,4,2003,7,4185.53147924164
982,1880,133,93270,8,2017,7,4187.4151567750505
983,1884,133,104346,36,2015,7,4182.0
984,1885,133,92736,12,2011,7,4189.29968204813
985,1886,133,106815,9,2010,7,4191.18505544239
986,1890,133,68333,22,2007,7,4193.07127733953
987,1892,133,64530,2,2004,7,5737.0
988,1899,134,2410214,22,2011,7,4194.9583481214095
989,1903,134,686877,435,2006,7,4772.0
990,1904,134,431040,653,2007,7,4196.84626817007
991,1906,134,3237394,1202,2004,7,3682.0
992,1907,135,44556,95,2003,7,4198.73503786772
993,1908,135,768702,26,2017,7,4200.62465759673
994,1909,135,159949,131,2012,7,4202.51512773966
995,1910,135,247348,58,2009,7,4204.40644867924
996,1914,135,177411,188,2010,7,9218.0
997,1915,135,158988,131,2013,7,4206.29862079836
998,1916,135,152982,51,2014,7,4208.19164448008
999,1920,135,49408,68,2004,7,4210.08552010766
1000,1922,136,170115,7,2016,7,5415.0
1001,1927,137,170360,78,2009,7,4211.98024806451
1002,1928,137,2302147,822,2016,7,4213.8758287342
1003,1929,137,1811808,665,2015,7,4215.77226250051
1004,1934,137,130683,11,2006,7,4217.66954974736
1005,1936,137,130878,41,2008,7,4938.0
1006,1937,137,0,0,2004,7,4219.56769085886
1007,1938,138,1457445,940,2003,7,4221.46668621928
1008,1939,138,228397,78,2017,7,4223.36653621308
1009,1940,138,205681,94,2012,7,4225.267241224879
1010,1943,138,253292,77,2015,7,4227.16880163947
1011,1944,138,130283,56,2011,7,5064.0
1012,1945,138,132998,92,2010,7,4229.07121784183
1013,1946,138,185034,113,2013,7,4230.97449021709
1014,1950,138,2131081,826,2008,7,4232.87861915058
1015,1952,139,3431280,390,2017,7,4234.78360502779
1016,1955,139,3537353,635,2016,7,4236.6894482343705
1017,1959,139,2514606,753,2013,7,4238.59614915617
1018,1963,139,798447,137,2008,7,4240.50370817919
1019,1964,140,477573,21,2003,7,4242.412125689621
1020,1966,141,2710189,366,2003,7,4244.3214020738205
